Corp. No.,Corporation Name,School No.,School Name,Voucher students from this district (2016-2017)
2475,Franklin County Community School Corporation,D135,Oldenburg Academy,12
2475,Franklin County Community School Corporation,B095,Saint Michael School,31
5310,Franklin Township Community School Corporation,C575,Baptist Academy,
5310,Franklin Township Community School Corporation,C360,Brebeuf Jesuit Preparatory School,
5310,Franklin Township Community School Corporation,C396,Burge Terrace Christian School,
5310,Franklin Township Community School Corporation,C580,Calvary Christian School,13
5310,Franklin Township Community School Corporation,C315,Calvary Lutheran School,13
5310,Franklin Township Community School Corporation,C715,Cardinal Ritter High School,
5310,Franklin Township Community School Corporation,C700,Cathedral High School,
5310,Franklin Township Community School Corporation,C625,Central Catholic School,
5310,Franklin Township Community School Corporation,C495,Colonial Christian School,
5310,Franklin Township Community School Corporation,C281,Cornerstone Baptist Academy,
5310,Franklin Township Community School Corporation,C527,Covenant Christian High School,
5310,Franklin Township Community School Corporation,B009,Crossing Educational Center,
5310,Franklin Township Community School Corporation,C966,Greenwood Christian Academy,29
5310,Franklin Township Community School Corporation,C275,Heritage Christian School,
5310,Franklin Township Community School Corporation,C595,Holy Cross Central School,
5310,Franklin Township Community School Corporation,C545,Holy Name School,38
5310,Franklin Township Community School Corporation,C390,Holy Spirit School,
5310,Franklin Township Community School Corporation,C282,Horizon Christian School,
5310,Franklin Township Community School Corporation,B190,Indiana Academy,
5310,Franklin Township Community School Corporation,C270,Lutheran High School,34
5310,Franklin Township Community School Corporation,C628,MTI School of Knowledge,
5310,Franklin Township Community School Corporation,C265,Nativity School,66
5310,Franklin Township Community School Corporation,C605,Our Lady Of Lourdes School,
5310,Franklin Township Community School Corporation,B535,Our Lady Of The Greenwood School,10
5310,Franklin Township Community School Corporation,C623,Providence Cristo Rey High School,
5310,Franklin Township Community School Corporation,C320,Roncalli High School,61
5310,Franklin Township Community School Corporation,C295,Saint Barnabas School,
5310,Franklin Township Community School Corporation,C400,Saint John Evangelical Lutheran School,28
5310,Franklin Township Community School Corporation,C300,Saint Jude Elementary School,48
5310,Franklin Township Community School Corporation,C280,Saint Lawrence School,
5310,Franklin Township Community School Corporation,C305,Saint Mark School,
5310,Franklin Township Community School Corporation,C440,Saint Matthew School,
5310,Franklin Township Community School Corporation,C310,Saint Roch School,
5310,Franklin Township Community School Corporation,C670,Saint Therese Little Flower School,
5310,Franklin Township Community School Corporation,B540,Saints Francis and Clare Catholic School,
5310,Franklin Township Community School Corporation,C710,Scecina Memorial School,
5310,Franklin Township Community School Corporation,C349,Southport Presbyterian Christian School,
5310,Franklin Township Community School Corporation,C325,Suburban Christian School,20
5310,Franklin Township Community School Corporation,C589,The Independence Academy,
5310,Franklin Township Community School Corporation,C773,The Oaks Academy,
5310,Franklin Township Community School Corporation,B297,The Oaks Academy - Brookside,
5310,Franklin Township Community School Corporation,C561,Trinity Christian School,
5310,Franklin Township Community School Corporation,C395,Trinity Lutheran School,
5245,Frankton-Lapel Community Schools,C250,Anderson Christian School,
5245,Frankton-Lapel Community Schools,A746,Heritage Hall Christian School,
5245,Frankton-Lapel Community Schools,C175,Indiana Christian Academy,13
5245,Frankton-Lapel Community Schools,C226,Liberty Christian Elementary,
5245,Frankton-Lapel Community Schools,C190,Saint Mary School,
8525,Frontier School Corporation,B009,Crossing Educational Center,
8525,Frontier School Corporation,D452,Faith Christian School,
8525,Frontier School Corporation,D425,Saint Lawrence Elementary School,
1820,Garrett-Keyser-Butler Community,A120,Bishop Dwenger High School,
1820,Garrett-Keyser-Butler Community,A236,Cornerstone College Preparatory School,
1820,Garrett-Keyser-Butler Community,A740,Lakewood Park Christian School,24
1820,Garrett-Keyser-Butler Community,C985,Saint John Lutheran School,
1820,Garrett-Keyser-Butler Community,A735,Saint Joseph School,23
1820,Garrett-Keyser-Butler Community,C980,Saint Mary Elementary School,
1820,Garrett-Keyser-Butler Community,A180,Saint Vincent DePaul School,
4690,Gary Community School Corporation,B806,Ambassador Christian Academy,130
4690,Gary Community School Corporation,B760,Andrean High School,51
4690,Gary Community School Corporation,B755,Aquinas School at Saint Andrew's,16
4690,Gary Community School Corporation,B764,Avicenna Academy,
4690,Gary Community School Corporation,B970,Bishop Noll Institute,23
4690,Gary Community School Corporation,B815,Calumet Christian School,13
4690,Gary Community School Corporation,B748,Faith Academy,44
4690,Gary Community School Corporation,C020,Highland Christian School,41
4690,Gary Community School Corporation,C125,Marquette Catholic High School,
4690,Gary Community School Corporation,B747,Midwest Elite Preparatory Academy,24
4690,Gary Community School Corporation,B951,Morning Star Academy,
4690,Gary Community School Corporation,B904,Mosaic Middle School,51
4690,Gary Community School Corporation,D065,Nativity of Our Savior School,13
4690,Gary Community School Corporation,C025,Our Lady Of Grace School,
4690,Gary Community School Corporation,D080,Portage Christian School,63
4690,Gary Community School Corporation,B950,Saint Casimir School,
4690,Gary Community School Corporation,B835,Saint Mary Catholic Community School,
4690,Gary Community School Corporation,B930,Saint Mary School,27
4690,Gary Community School Corporation,B775,Saint Michael School,
4690,Gary Community School Corporation,D050,Saint Patrick School,
4690,Gary Community School Corporation,C065,Saint Paul's Lutheran School,
4690,Gary Community School Corporation,B865,Saint Stanislaus School,
4690,Gary Community School Corporation,C060,Saint Thomas More School,
4690,Gary Community School Corporation,B928,Spirit of God Accelerated School,41
4690,Gary Community School Corporation,C050,Trinity Lutheran School,14
4690,Gary Community School Corporation,D073,Victory Christian Academy,
2315,Goshen Community Schools,B015,Bethany Christian School,109
2315,Goshen Community Schools,A875,Clinton Christian School,40
2315,Goshen Community Schools,A990,Elkhart Christian Academy,13
2315,Goshen Community Schools,D165,Marian High School,
2315,Goshen Community Schools,B020,Saint John Evangelist School,90
2315,Goshen Community Schools,A975,Saint Thomas The Apostle School,
1010,Greater Clark County Schools,B045,Christian Academy of Indiana,76
1010,Greater Clark County Schools,B050,Holy Family School,
1010,Greater Clark County Schools,B060,Our Lady Of Perpetual School,13
1010,Greater Clark County Schools,A575,Our Lady Of Providence High School,30
1010,Greater Clark County Schools,A570,Sacred Heart School,90
1010,Greater Clark County Schools,A560,Saint Anthony School,83
1010,Greater Clark County Schools,B067,Saint Mary of-the-Knobs Catholic School,
1010,Greater Clark County Schools,A550,Saint Paul School,
2120,Greater Jasper Consolidated Schools,A871,Holy Trinity Catholic School,73
2120,Greater Jasper Consolidated Schools,B190,Indiana Academy,
3125,Greenfield-Central Community Schools,C396,Burge Terrace Christian School,
3125,Greenfield-Central Community Schools,C281,Cornerstone Baptist Academy,
3125,Greenfield-Central Community Schools,C211,Holy Cross School,
3125,Greenfield-Central Community Schools,C390,Holy Spirit School,
3125,Greenfield-Central Community Schools,C282,Horizon Christian School,
3125,Greenfield-Central Community Schools,B265,Saint Michael School,40
3125,Greenfield-Central Community Schools,C670,Saint Therese Little Flower School,
3125,Greenfield-Central Community Schools,C710,Scecina Memorial School,
1730,Greensburg Community Schools,C580,Calvary Christian School,
1730,Greensburg Community Schools,A724,Good Shepherd Christian Academy,19
1730,Greensburg Community Schools,D135,Oldenburg Academy,
1730,Greensburg Community Schools,A730,Saint Mary School,12
4245,Greenwood Community School Corporation,C575,Baptist Academy,
4245,Greenwood Community School Corporation,C315,Calvary Lutheran School,
4245,Greenwood Community School Corporation,C700,Cathedral High School,
4245,Greenwood Community School Corporation,B009,Crossing Educational Center,
4245,Greenwood Community School Corporation,C966,Greenwood Christian Academy,22
4245,Greenwood Community School Corporation,C545,Holy Name School,
4245,Greenwood Community School Corporation,C270,Lutheran High School,
4245,Greenwood Community School Corporation,B535,Our Lady Of The Greenwood School,27
4245,Greenwood Community School Corporation,C320,Roncalli High School,11
4245,Greenwood Community School Corporation,C295,Saint Barnabas School,
4245,Greenwood Community School Corporation,C305,Saint Mark School,
4245,Greenwood Community School Corporation,B540,Saints Francis and Clare Catholic School,
4245,Greenwood Community School Corporation,C710,Scecina Memorial School,
4245,Greenwood Community School Corporation,C773,The Oaks Academy,
4245,Greenwood Community School Corporation,B297,The Oaks Academy - Brookside,
4700,Griffith Public Schools,B806,Ambassador Christian Academy,
4700,Griffith Public Schools,B760,Andrean High School,
4700,Griffith Public Schools,B970,Bishop Noll Institute,
4700,Griffith Public Schools,B815,Calumet Christian School,
4700,Griffith Public Schools,B748,Faith Academy,
4700,Griffith Public Schools,C020,Highland Christian School,12
4700,Griffith Public Schools,B950,Saint Casimir School,
4700,Griffith Public Schools,B930,Saint Mary School,29
4700,Griffith Public Schools,C060,Saint Thomas More School,
7610,Hamilton Community Schools,A740,Lakewood Park Christian School,
3025,Hamilton Heights School Corporation,C495,Colonial Christian School,
3025,Hamilton Heights School Corporation,B161,Fishers Christian Academy,
3025,Hamilton Heights School Corporation,B190,Indiana Academy,
3025,Hamilton Heights School Corporation,C175,Indiana Christian Academy,
3025,Hamilton Heights School Corporation,B248,Legacy Christian School,
3025,Hamilton Heights School Corporation,B246,Our Lady of Grace School,
3005,Hamilton Southeastern Schools,C705,Bishop Chatard High School,
3005,Hamilton Southeastern Schools,C315,Calvary Lutheran School,
3005,Hamilton Southeastern Schools,C700,Cathedral High School,20
3005,Hamilton Southeastern Schools,C495,Colonial Christian School,11
3005,Hamilton Southeastern Schools,C514,Crosspointe Christian Academy,
3005,Hamilton Southeastern Schools,B160,Eman Schools,92
3005,Hamilton Southeastern Schools,B161,Fishers Christian Academy,22
3005,Hamilton Southeastern Schools,B249,Guerin Catholic High School,
3005,Hamilton Southeastern Schools,C275,Heritage Christian School,49
3005,Hamilton Southeastern Schools,C267,Holy Cross Lutheran School,
3005,Hamilton Southeastern Schools,C282,Horizon Christian School,24
3005,Hamilton Southeastern Schools,B725,Howe School,
3005,Hamilton Southeastern Schools,B248,Legacy Christian School,
3005,Hamilton Southeastern Schools,B299,Legacy Learning Center,
3005,Hamilton Southeastern Schools,B246,Our Lady of Grace School,10
3005,Hamilton Southeastern Schools,C791,Project Libertas,
3005,Hamilton Southeastern Schools,C645,Saint Joan Of Arc School,
3005,Hamilton Southeastern Schools,C280,Saint Lawrence School,
3005,Hamilton Southeastern Schools,C435,Saint Luke School,
3005,Hamilton Southeastern Schools,C440,Saint Matthew School,
3005,Hamilton Southeastern Schools,C450,Saint Pius X School,
3005,Hamilton Southeastern Schools,C665,Saint Simon The Apostle School,13
3005,Hamilton Southeastern Schools,B297,The Oaks Academy - Brookside,
3005,Hamilton Southeastern Schools,C774,The Oaks Academy - Middle School,
3005,Hamilton Southeastern Schools,C375,Traders Point Christian Academy,
4580,Hanover Community School Corporation,B760,Andrean High School,
4580,Hanover Community School Corporation,B771,Crown Point Christian School,39
4580,Hanover Community School Corporation,B725,Howe School,
4580,Hanover Community School Corporation,B780,Saint John Evangelist School,14
4580,Hanover Community School Corporation,B850,Trinity Lutheran School,
3625,Huntington County Community School Corporation,A125,Bishop Luers High School,10
3625,Huntington County Community School Corporation,A172,Blackhawk Christian Elementary School,
3625,Huntington County Community School Corporation,A170,Blackhawk Christian Jr/Sr High School,
3625,Huntington County Community School Corporation,A215,Emmanuel Saint Michael Lutheran School,
3625,Huntington County Community School Corporation,A220,Emmaus Lutheran School,
3625,Huntington County Community School Corporation,B418,Huntington Catholic School,74
3625,Huntington County Community School Corporation,B145,Lakeview Christian School,
3625,Huntington County Community School Corporation,D805,Saint Bernard Elementary School,
3625,Huntington County Community School Corporation,A145,Saint Charles Borromeo School,
3625,Huntington County Community School Corporation,A035,Saint Joseph School,
3625,Huntington County Community School Corporation,A104,Saint Joseph-Saint Elizabeth Campus II,11
3625,Huntington County Community School Corporation,A175,Saint Therese School,
3625,Huntington County Community School Corporation,A200,Suburban Bethlehem Lutheran School,
3625,Huntington County Community School Corporation,D907,TROY Center,
5385,Indianapolis Public Schools,C575,Baptist Academy,43
5385,Indianapolis Public Schools,B290,Bethesda Christian School,10
5385,Indianapolis Public Schools,C705,Bishop Chatard High School,76
5385,Indianapolis Public Schools,C360,Brebeuf Jesuit Preparatory School,18
5385,Indianapolis Public Schools,C580,Calvary Christian School,21
5385,Indianapolis Public Schools,C315,Calvary Lutheran School,18
5385,Indianapolis Public Schools,C690,Capitol City Seventh Day Adventist Church School,
5385,Indianapolis Public Schools,C715,Cardinal Ritter High School,173
5385,Indianapolis Public Schools,C700,Cathedral High School,79
5385,Indianapolis Public Schools,C625,Central Catholic School,135
5385,Indianapolis Public Schools,C585,Christ The King School,34
5385,Indianapolis Public Schools,A450,Columbus Christian School Inc,
5385,Indianapolis Public Schools,C281,Cornerstone Baptist Academy,14
5385,Indianapolis Public Schools,C527,Covenant Christian High School ,
5385,Indianapolis Public Schools,B009,Crossing Educational Center,14
5385,Indianapolis Public Schools,C514,Crosspointe Christian Academy,25
5385,Indianapolis Public Schools,B160,Eman Schools,
5385,Indianapolis Public Schools,C680,Emmaus Lutheran School,12
5385,Indianapolis Public Schools,C966,Greenwood Christian Academy,
5385,Indianapolis Public Schools,C275,Heritage Christian School,52
5385,Indianapolis Public Schools,C590,Holy Angels Catholic School,54
5385,Indianapolis Public Schools,C595,Holy Cross Central School,166
5385,Indianapolis Public Schools,C545,Holy Name School,23
5385,Indianapolis Public Schools,C390,Holy Spirit School,97
5385,Indianapolis Public Schools,C282,Horizon Christian School,24
5385,Indianapolis Public Schools,C563,Horizon Christian School-Shepherd Campus,99
5385,Indianapolis Public Schools,B190,Indiana Academy,11
5385,Indianapolis Public Schools,C455,Indianapolis Junior Academy,24
5385,Indianapolis Public Schools,B295,Kingsway Christian School,
5385,Indianapolis Public Schools,B299,Legacy Learning Center,63
5385,Indianapolis Public Schools,C270,Lutheran High School,23
5385,Indianapolis Public Schools,C628,MTI School of Knowledge,53
5385,Indianapolis Public Schools,C265,Nativity School,10
5385,Indianapolis Public Schools,C605,Our Lady Of Lourdes School,77
5385,Indianapolis Public Schools,B535,Our Lady Of The Greenwood School,
5385,Indianapolis Public Schools,C512,Our Shepherd Lutheran School,
5385,Indianapolis Public Schools,C791,Project Libertas,48
5385,Indianapolis Public Schools,C623,Providence Cristo Rey High School,173
5385,Indianapolis Public Schools,C320,Roncalli High School,55
5385,Indianapolis Public Schools,C615,Saint Anthony Catholic School,181
5385,Indianapolis Public Schools,C795,Saint Christopher School,26
5385,Indianapolis Public Schools,C645,Saint Joan Of Arc School,120
5385,Indianapolis Public Schools,C400,Saint John Evangelical Lutheran School,
5385,Indianapolis Public Schools,C300,Saint Jude Elementary School,
5385,Indianapolis Public Schools,C280,Saint Lawrence School,54
5385,Indianapolis Public Schools,C435,Saint Luke School,
5385,Indianapolis Public Schools,B285,Saint Malachy School,
5385,Indianapolis Public Schools,C305,Saint Mark School,14
5385,Indianapolis Public Schools,C440,Saint Matthew School,26
5385,Indianapolis Public Schools,C650,Saint Michael The Archangel School,208
5385,Indianapolis Public Schools,C445,Saint Monica School,23
5385,Indianapolis Public Schools,C655,Saint Philip Neri School,163
5385,Indianapolis Public Schools,C450,Saint Pius X School,
5385,Indianapolis Public Schools,C310,Saint Roch School,23
5385,Indianapolis Public Schools,C670,Saint Therese Little Flower School,184
5385,Indianapolis Public Schools,C675,Saint Thomas Aquinas School,40
5385,Indianapolis Public Schools,C710,Scecina Memorial School,194
5385,Indianapolis Public Schools,C349,Southport Presbyterian Christian School,
5385,Indianapolis Public Schools,C325,Suburban Christian School,12
5385,Indianapolis Public Schools,C589,The Independence Academy,
5385,Indianapolis Public Schools,C773,The Oaks Academy,88
5385,Indianapolis Public Schools,B297,The Oaks Academy - Brookside,64
5385,Indianapolis Public Schools,C774,The Oaks Academy - Middle School,51
5385,Indianapolis Public Schools,C699,TP Schools,15
5385,Indianapolis Public Schools,C375,Traders Point Christian Academy,
5385,Indianapolis Public Schools,C561,Trinity Christian School,158
5385,Indianapolis Public Schools,C395,Trinity Lutheran School,17
6900,Jac-Cen-Del Community School Corporation,B510,Pope John XXIII School,
6900,Jac-Cen-Del Community School Corporation,A730,Saint Mary School,
6900,Jac-Cen-Del Community School Corporation,B505,Shawe Memorial High School,
3945,Jay School Corporation,B483,Jay County Christian Academy,41
3945,Jay School Corporation,C226,Liberty Christian Elementary,
4015,Jennings County Schools,B493,Christian Academy of Madison,
4015,Jennings County Schools,A450,Columbus Christian School Inc.,
4015,Jennings County Schools,B445,Immanuel Lutheran School,
4015,Jennings County Schools,B440,Saint Ambrose School,
4015,Jennings County Schools,B515,Saint Mary School,65
4015,Jennings County Schools,A435,Saint Peter Lutheran School,
4015,Jennings County Schools,B455,Seymour Christian Academy,
4015,Jennings County Schools,B505,Shawe Memorial High School,
4015,Jennings County Schools,B452,Trinity Lutheran High School,
4015,Jennings County Schools,A430,White Creek Lutheran School,
7150,John Glenn School Corporation,D305,Community Baptist Christian School,
7150,John Glenn School Corporation,D158,North Liberty Christian School,
7150,John Glenn School Corporation,D260,Saint Anthony De Padua School,
7150,John Glenn School Corporation,D225,Saint Joseph's High School,
7150,John Glenn School Corporation,C855,Saint Michael School,
7150,John Glenn School Corporation,D217,Trinity School At Greenlawn,
3785,Kankakee Valley School Corporation,B469,Covenant Christian High School,25
3785,Kankakee Valley School Corporation,B009,Crossing Educational Center,
3785,Kankakee Valley School Corporation,B470,DeMotte Christian School,107
3785,Kankakee Valley School Corporation,D375,Saint Peter Lutheran School,
3785,Kankakee Valley School Corporation,B850,Trinity Lutheran School,
7525,Knox Community School Corporation,B009,Crossing Educational Center,
7525,Knox Community School Corporation,D375,Saint Peter Lutheran School,
3500,Kokomo-Center Township Consolidated School Corporation,B009,Crossing Educational Center,17
3500,Kokomo-Center Township Consolidated School Corporation,B249,Guerin Catholic High School,
3500,Kokomo-Center Township Consolidated School Corporation,B367,Redeemer Lutheran School,35
3500,Kokomo-Center Township Consolidated School Corporation,B395,Saints Joan of Arc & Patrick School,117
3500,Kokomo-Center Township Consolidated School Corporation,B136,The King's Academy,
7855,Lafayette School Corporation,D415,Central Catholic Jr/Sr High School,100
7855,Lafayette School Corporation,C281,Cornerstone Baptist Academy,
7855,Lafayette School Corporation,B009,Crossing Educational Center,18
7855,Lafayette School Corporation,D452,Faith Christian School,76
7855,Lafayette School Corporation,B190,Indiana Academy,
7855,Lafayette School Corporation,D440,Lafayette Christian School,63
7855,Lafayette School Corporation,D420,Saint Boniface School,41
7855,Lafayette School Corporation,D435,Saint James Lutheran School,27
7855,Lafayette School Corporation,D425,Saint Lawrence Elementary School,54
7855,Lafayette School Corporation,D430,Saint Mary Cathedral School,40
7855,Lafayette School Corporation,B452,Trinity Lutheran High School,
4615,Lake Central School Corporation,B760,Andrean High School,
4615,Lake Central School Corporation,B755,Aquinas School at Saint Andrew's,
4615,Lake Central School Corporation,B970,Bishop Noll Institute,
4615,Lake Central School Corporation,B815,Calumet Christian School,
4615,Lake Central School Corporation,B771,Crown Point Christian School,39
4615,Lake Central School Corporation,B748,Faith Academy,
4615,Lake Central School Corporation,C020,Highland Christian School,10
4615,Lake Central School Corporation,B725,Howe School,
4615,Lake Central School Corporation,C025,Our Lady Of Grace School,
4615,Lake Central School Corporation,B960,Saint John Bosco School,
4615,Lake Central School Corporation,B780,Saint John Evangelist School,14
4615,Lake Central School Corporation,B965,Saint John The Baptist School,
4615,Lake Central School Corporation,B835,Saint Mary Catholic Community School,
4615,Lake Central School Corporation,B930,Saint Mary School,
4615,Lake Central School Corporation,B775,Saint Michael School,17
4615,Lake Central School Corporation,C065,Saint Paul's Lutheran School,
4615,Lake Central School Corporation,C060,Saint Thomas More School,
4615,Lake Central School Corporation,B850,Trinity Lutheran School,
4650,Lake Ridge Schools,B760,Andrean High School,14
4650,Lake Ridge Schools,B815,Calumet Christian School,12
4650,Lake Ridge Schools,B748,Faith Academy,
4650,Lake Ridge Schools,C020,Highland Christian School,
4650,Lake Ridge Schools,C025,Our Lady Of Grace School,
4650,Lake Ridge Schools,B835,Saint Mary Catholic Community School,
4650,Lake Ridge Schools,B930,Saint Mary School,12
4680,Lake Station Community Schools,B806,Ambassador Christian Academy,
4680,Lake Station Community Schools,B970,Bishop Noll Institute,
4680,Lake Station Community Schools,B815,Calumet Christian School,
4680,Lake Station Community Schools,C125,Marquette Catholic High School,
4680,Lake Station Community Schools,D065,Nativity of Our Savior School,12
4680,Lake Station Community Schools,D080,Portage Christian School,41
4680,Lake Station Community Schools,C050,Trinity Lutheran School,
4535,Lakeland School Corporation,A875,Clinton Christian School,
4535,Lakeland School Corporation,A990,Elkhart Christian Academy,
4535,Lakeland School Corporation,B725,Howe School,
4535,Lakeland School Corporation,C985,Saint John Lutheran School,
3160,Lanesville Community School Corporation,B045,Christian Academy of Indiana,
3160,Lanesville Community School Corporation,B050,Holy Family School,
3160,Lanesville Community School Corporation,A575,Our Lady Of Providence High School,
3160,Lanesville Community School Corporation,B275,Saint John Lutheran School,11
3160,Lanesville Community School Corporation,B280,Saint Joseph School,
4945,LaPorte Community School Corporation,B190,Indiana Academy,
4945,LaPorte Community School Corporation,C125,Marquette Catholic High School,
4945,LaPorte Community School Corporation,C105,Notre Dame Elementary School,15
4945,LaPorte Community School Corporation,C150,Saint John Lutheran School,46
4945,LaPorte Community School Corporation,D225,Saint Joseph's High School,
4945,LaPorte Community School Corporation,D073,Victory Christian Academy,20
1620,Lawrenceburg Community School Corporation,D135,Oldenburg Academy,
1620,Lawrenceburg Community School Corporation,A700,Saint Lawrence School,14
1620,Lawrenceburg Community School Corporation,A690,Saint Mary School,
665,Lebanon Community School Corporation,B290,Bethesda Christian School,
665,Lebanon Community School Corporation,C495,Colonial Christian School,13
665,Lebanon Community School Corporation,C527,Covenant Christian High School,
665,Lebanon Community School Corporation,C320,Roncalli High School,
665,Lebanon Community School Corporation,C445,Saint Monica School,
665,Lebanon Community School Corporation,C310,Saint Roch School,
665,Lebanon Community School Corporation,C375,Traders Point Christian Academy,50
1895,Liberty-Perry Community School Corporation,A746,Heritage Hall Christian School,
1895,Liberty-Perry Community School Corporation,A795,Saint Mary School,
875,Logansport Community School Corporation,B190,Indiana Academy,
8445,M S D Bluffton-Harrison,A270,Saint Aloysius Catholic School,
6460,M S D Boone Township,B470,DeMotte Christian School,
6460,M S D Boone Township,B850,Trinity Lutheran School,
5300,M S D Decatur Township,C580,Calvary Christian School,
5300,M S D Decatur Township,C315,Calvary Lutheran School,
5300,M S D Decatur Township,C715,Cardinal Ritter High School,
5300,M S D Decatur Township,C625,Central Catholic School,
5300,M S D Decatur Township,C527,Covenant Christian High School,
5300,M S D Decatur Township,B009,Crossing Educational Center,
5300,M S D Decatur Township,C514,Crosspointe Christian Academy,
5300,M S D Decatur Township,C966,Greenwood Christian Academy,
5300,M S D Decatur Township,C275,Heritage Christian School,
5300,M S D Decatur Township,C595,Holy Cross Central School,
5300,M S D Decatur Township,C390,Holy Spirit School,
5300,M S D Decatur Township,B190,Indiana Academy,
5300,M S D Decatur Township,B302,Islamic School of Plainfield,10
5300,M S D Decatur Township,B295,Kingsway Christian School,
5300,M S D Decatur Township,B299,Legacy Learning Center,
5300,M S D Decatur Township,C270,Lutheran High School,
5300,M S D Decatur Township,C965,Mooresville Christian Academy,27
5300,M S D Decatur Township,C628,MTI School of Knowledge,58
5300,M S D Decatur Township,B535,Our Lady Of The Greenwood School,
5300,M S D Decatur Township,C623,Providence Cristo Rey High School,
5300,M S D Decatur Township,C320,Roncalli High School,
5300,M S D Decatur Township,C295,Saint Barnabas School,
5300,M S D Decatur Township,C795,Saint Christopher School,
5300,M S D Decatur Township,C400,Saint John Evangelical Lutheran School,
5300,M S D Decatur Township,B285,Saint Malachy School,
5300,M S D Decatur Township,C305,Saint Mark School,
5300,M S D Decatur Township,C650,Saint Michael The Archangel School,
5300,M S D Decatur Township,C655,Saint Philip Neri School,
5300,M S D Decatur Township,C310,Saint Roch School,
5300,M S D Decatur Township,B300,Saint Susanna School,
5300,M S D Decatur Township,B540,Saints Francis and Clare Catholic School,
5300,M S D Decatur Township,C325,Suburban Christian School,
5300,M S D Decatur Township,C773,The Oaks Academy,
5300,M S D Decatur Township,C774,The Oaks Academy - Middle School,
5300,M S D Decatur Township,C375,Traders Point Christian Academy,
5300,M S D Decatur Township,C561,Trinity Christian School,
5330,M S D Lawrence Township,B290,Bethesda Christian School,
5330,M S D Lawrence Township,C705,Bishop Chatard High School,41
5330,M S D Lawrence Township,C360,Brebeuf Jesuit Preparatory School,
5330,M S D Lawrence Township,C396,Burge Terrace Christian School,
5330,M S D Lawrence Township,C580,Calvary Christian School,19
5330,M S D Lawrence Township,C690,Capitol City Seventh Day Adventist Church School,
5330,M S D Lawrence Township,C700,Cathedral High School,50
5330,M S D Lawrence Township,C585,Christ The King School,17
5330,M S D Lawrence Township,C495,Colonial Christian School,23
5330,M S D Lawrence Township,C281,Cornerstone Baptist Academy,29
5330,M S D Lawrence Township,B160,Eman Schools,
5330,M S D Lawrence Township,C680,Emmaus Lutheran School,
5330,M S D Lawrence Township,B249,Guerin Catholic High School,
5330,M S D Lawrence Township,C275,Heritage Christian School,88
5330,M S D Lawrence Township,C595,Holy Cross Central School,
5330,M S D Lawrence Township,C267,Holy Cross Lutheran School,12
5330,M S D Lawrence Township,C390,Holy Spirit School,
5330,M S D Lawrence Township,C282,Horizon Christian School,64
5330,M S D Lawrence Township,C600,Immaculate Heart of Mary School,
5330,M S D Lawrence Township,B190,Indiana Academy,
5330,M S D Lawrence Township,C455,Indianapolis Junior Academy,16
5330,M S D Lawrence Township,C270,Lutheran High School,
5330,M S D Lawrence Township,C605,Our Lady Of Lourdes School,
5330,M S D Lawrence Township,C623,Providence Cristo Rey High School,11
5330,M S D Lawrence Township,C645,Saint Joan Of Arc School,
5330,M S D Lawrence Township,C400,Saint John Evangelical Lutheran School,
5330,M S D Lawrence Township,C280,Saint Lawrence School,70
5330,M S D Lawrence Township,C435,Saint Luke School,
5330,M S D Lawrence Township,B285,Saint Malachy School,
5330,M S D Lawrence Township,C305,Saint Mark School,
5330,M S D Lawrence Township,C440,Saint Matthew School,64
5330,M S D Lawrence Township,C445,Saint Monica School,
5330,M S D Lawrence Township,C655,Saint Philip Neri School,
5330,M S D Lawrence Township,C450,Saint Pius X School,19
5330,M S D Lawrence Township,C665,Saint Simon The Apostle School,26
5330,M S D Lawrence Township,C675,Saint Thomas Aquinas School,
5330,M S D Lawrence Township,C710,Scecina Memorial School,13
5330,M S D Lawrence Township,C589,The Independence Academy,
5330,M S D Lawrence Township,C773,The Oaks Academy,13
5330,M S D Lawrence Township,B297,The Oaks Academy - Brookside,
5330,M S D Lawrence Township,C774,The Oaks Academy - Middle School,
5330,M S D Lawrence Township,C699,TP Schools,35
5330,M S D Lawrence Township,C561,Trinity Christian School,
5925,M S D Martinsville Schools,C905,Adventist Christian Elementary,
5925,M S D Martinsville Schools,C527,Covenant Christian High School,
5925,M S D Martinsville Schools,C966,Greenwood Christian Academy,
5925,M S D Martinsville Schools,B190,Indiana Academy,
5925,M S D Martinsville Schools,C965,Mooresville Christian Academy,15
5925,M S D Martinsville Schools,C899,Pinnacle School,
5925,M S D Martinsville Schools,B540,Saints Francis and Clare Catholic School,
5925,M S D Martinsville Schools,C940,Tabernacle Christian Schools,145
6590,M S D Mount Vernon,D550,Corpus Christi School,
6590,M S D Mount Vernon,C282,Horizon Christian School,
6590,M S D Mount Vernon,D530,Mater Dei High School,11
6590,M S D Mount Vernon,D610,Resurrection School,
6590,M S D Mount Vernon,D095,Saint Matthew School,18
6590,M S D Mount Vernon,D100,Saint Philip School,17
6590,M S D Mount Vernon,B297,The Oaks Academy - Brookside,
6590,M S D Mount Vernon,D580,Westside Catholic School,
6600,M S D North Posey County Schools,B115,Holy Cross School,
6600,M S D North Posey County Schools,D530,Mater Dei High School,10
6600,M S D North Posey County Schools,D610,Resurrection School,
6600,M S D North Posey County Schools,D605,Saint Joseph School,
6600,M S D North Posey County Schools,D100,Saint Philip School,
6600,M S D North Posey County Schools,D105,Saint Wendel School,24
